timestamp,algorithm,test_type,condition,throughput_mbps,retransmits,num_streams
20250801_044307,vegas,baseline,none,47649.59577015486,180,1
20250801_044307,bbr,latency,latency100ms,258.9159030502955,0,1
20250801_044307,bbr,latency,latency100ms,258.91398710844106,0,1
20250801_044307,reno,loss,loss0.5,26110.562468231765,112806,1
20250801_044307,vegas,bandwidth,band10mbps,11.512007963080263,0,1
20250801_044307,bbr,latency,latency100ms,258.91424601784547,0,1
20250801_044307,bbr,streams,8streams,42951.32341823645,0,8
20250801_044307,cubic,latency,latency50ms,577.5085342586834,0,1
20250801_044307,bbr,streams,8streams,46739.10204853858,0,8
20250801_044307,cubic,latency,latency50ms,580.6519640813243,0,1
20250801_044307,vegas,bandwidth,band10mbps,11.504107149552919,0,1
20250801_044307,bbr,baseline,none,47572.035819391065,90,1
20250801_044307,vegas,baseline,none,47990.99121214306,95,1
20250801_044307,bbr,baseline,none,46882.431464657944,1,1
20250801_044307,westwood,baseline,none,48582.09879617518,0,1
20250801_044307,reno,baseline,none,47300.353534001035,0,1
20250801_044307,reno,loss,loss0.5,24238.52767687709,104126,1
20250801_044307,reno,baseline,none,48274.90499463703,0,1
20250801_044307,cubic,streams,4streams,49884.4627723821,1,4
20250801_044307,reno,loss,loss0.5,22195.195302442276,96761,1
20250801_044307,cubic,streams,4streams,49337.46687258427,0,4
20250801_044307,westwood,baseline,none,47044.61110263343,0,1
20250801_044307,bbr,streams,8streams,46592.337706959945,1,8
20250801_044307,vegas,baseline,none,47448.12091027297,45,1
20250801_044307,westwood,baseline,none,48858.010669280404,0,1
20250801_044307,illinois,baseline,none,49144.5174488994,1,1
20250801_044307,cubic,latency,latency50ms,581.5140964794326,0,1
20250801_044307,illinois,baseline,none,48141.1164905177,0,1
20250801_044307,cubic,streams,4streams,49496.7764763408,0,4
20250801_044307,cubic,baseline,none,49051.934134558076,0,1
20250801_044307,vegas,bandwidth,band10mbps,11.525015088605814,0,1
20250801_044307,illinois,baseline,none,49430.916913469744,0,1
20250801_044307,cubic,baseline,none,48880.885837082235,0,1
20250801_044307,reno,baseline,none,48796.01713952973,0,1
20250801_044307,bbr,baseline,none,48006.73620616416,180,1
